1;2216475;37;35
2;615076;37;38
3;715693;38;30
4;536285;39;43
5;402404;38;34
6;329888;40;35
7;5445026;39;32
8;2364396;36;30
9;97096;41;42
10;166143;41;41
11;1080839;37;27
12;1204824;39;27
13;193577;41;32
14;585252;37;41
15;80417;40;40
16;221693;40;30
17;273354;39;40
18;341474;38;42
19;303184;40;31
20;264779;37;30
21;2936803;40;29
22;530417;40;26
23;186074;40;33
24;528422;40;34
25;1018735;37;29
26;1699901;37;40
27;377610;40;31
28;406855;41;26
29;583671;38;39
30;231511;39;39
31;760476;39;41
32;860620;39;30
33;2005515;37;37
34;437393;40;38
35;170173;40;39
36;275761;37;43
37;1575226;36;36
38;194775;39;44
39;433830;37;30
40;15029231;41;28
41;4279677;38;27
42;1127623;37;36
43;244453;41;32
44;246672;37;33
45;287654;40;43
46;372373;41;33
47;1376722;38;35
48;278749;39;33
49;356050;41;27
50;234529;39;34
51;136319;36;37
52;1883270;40;29
53;2180149;37;32
54;572256;39;29
55;786676;38;38
56;1413041;38;27
57;809719;37;40
58;1793931;36;34
59;938751;37;28
60;404544;38;41
61;292365;38;34
62;352727;37;34
63;742341;40;37
64;527724;37;36
65;331041;41;40
66;990214;40;30
67;1312990;41;36
68;324394;37;41
69;207427;42;35
70;621301;39;37
71;1985753;37;38
72;503236;37;42
73;1005463;40;27
74;602086;40;36
75;786326;41;39
76;82498;39;39
77;364971;38;29
78;1106891;38;43
79;251203;40;29
80;418650;39;34
81;596892;41;31
